,date,rainfall_mm,rainfall_yesterday,rainfall_2day_total,flood,predicted_flood
1,2019-07-02,0.18,1.07,1.25,0,0
2,2019-07-03,5.54,0.18,5.72,0,0
3,2019-07-04,5.31,5.54,10.85,0,0
4,2019-07-05,4.84,5.31,10.149999999999999,0,0
5,2019-07-06,20.49,4.84,25.33,0,0
6,2019-07-07,10.34,20.49,30.83,0,0
7,2019-07-08,0.1,10.34,10.44,0,0
8,2019-07-09,0.01,0.1,0.11,0,0
9,2019-07-10,0.01,0.01,0.02,0,0
10,2019-07-11,0.0,0.01,0.01,0,0
11,2019-07-12,0.0,0.0,0.0,0,0
12,2019-07-13,0.0,0.0,0.0,0,0
13,2019-07-14,0.0,0.0,0.0,0,0
14,2019-07-15,0.0,0.0,0.0,0,0
15,2019-07-16,0.0,0.0,0.0,0,0
16,2019-07-17,0.0,0.0,0.0,0,0
17,2019-07-18,0.01,0.0,0.01,0,0
18,2019-07-19,0.03,0.01,0.04,0,0
19,2019-07-20,1.13,0.03,1.16,0,0
20,2019-07-21,7.08,1.13,8.21,0,0
21,2019-07-22,4.97,7.08,12.05,0,0
22,2019-07-23,3.38,4.97,8.35,0,0
23,2019-07-24,0.15,3.38,3.53,0,0
24,2019-07-25,2.61,0.15,2.76,0,0
25,2019-07-26,4.92,2.61,7.529999999999999,0,0
26,2019-07-27,4.88,4.92,9.8,0,0
27,2019-07-28,5.71,4.88,10.59,0,0
28,2019-07-29,13.25,5.71,18.96,0,0
29,2019-07-30,14.7,13.25,27.95,0,0
30,2019-07-31,54.78,14.7,69.48,0,0
31,2019-08-01,37.52,54.78,92.30000000000001,0,0
32,2019-08-02,12.63,37.52,50.150000000000006,0,0
33,2019-08-03,35.11,12.63,47.74,0,0
34,2019-08-04,24.92,35.11,60.03,0,0
35,2019-08-05,1.89,24.92,26.810000000000002,0,0
36,2019-08-06,0.08,1.89,1.97,0,0
37,2019-08-07,0.3,0.08,0.38,0,0
38,2019-08-08,19.08,0.3,19.38,0,0
39,2019-08-09,70.93,19.08,90.01,1,1
40,2019-08-10,68.13,70.93,139.06,1,1
41,2019-08-11,10.65,68.13,78.78,0,0
42,2019-08-12,0.41,10.65,11.06,0,0
43,2019-08-13,1.27,0.41,1.68,0,0
44,2019-08-14,5.15,1.27,6.42,0,0
45,2019-08-15,15.01,5.15,20.16,0,0
46,2019-08-16,10.44,15.01,25.45,0,0
47,2019-08-17,16.68,10.44,27.119999999999997,0,0
48,2019-08-18,1.97,16.68,18.65,0,0
49,2019-08-19,0.3,1.97,2.27,0,0
50,2019-08-20,0.25,0.3,0.55,0,0
51,2019-08-21,0.18,0.25,0.43,0,0
52,2019-08-22,0.02,0.18,0.19999999999999998,0,0
53,2019-08-23,0.44,0.02,0.46,0,0
54,2019-08-24,0.03,0.44,0.47,0,0
55,2019-08-25,0.18,0.03,0.21,0,0
56,2019-08-26,23.01,0.18,23.19,0,0
57,2019-08-27,17.68,23.01,40.69,0,0
58,2019-08-28,14.76,17.68,32.44,0,0
59,2019-08-29,4.77,14.76,19.53,0,0
60,2019-08-30,1.94,4.77,6.709999999999999,0,0
61,2019-08-31,3.93,1.94,5.87,0,0
62,2019-09-01,8.69,3.93,12.62,0,0
